insider_name,title,type,security,shares,price,value,code,filing_date
Porat Ruth,"President, Chief Invs. Officer",Sell,Class C Capital Stock,1800.0,186.7967,336234.06,S,2025-02-21
Porat Ruth,"President, Chief Invs. Officer",Sell,Class C Capital Stock,1202.0,184.9258,222280.81,S,2025-02-21
Porat Ruth,"President, Chief Invs. Officer",Sell,Class C Capital Stock,4207.0,182.6487,768403.08,S,2025-02-21
Porat Ruth,"President, Chief Invs. Officer",Sell,Class C Capital Stock,2202.0,186.2063,410026.27,S,2025-02-21
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Capital Stock,8208.0,185.4251,1521969.22,S,2025-02-20
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Capital Stock,3280.0,184.4019,604838.23,S,2025-02-20
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Capital Stock,5602.0,186.1207,1042648.16,S,2025-02-20
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Capital Stock,600.0,187.0467,112228.02,S,2025-02-20
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Capital Stock,17690.0,0.0,0.0,G,2025-02-20
Shriram Kavitark Ram,Unknown,Sell,Class A Common Stock,1371.0,182.494,250199.27,S,2025-02-19
Shriram Kavitark Ram,Unknown,Sell,Class A Common Stock,15910.0,185.5038,2951365.46,S,2025-02-19
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Capital Stock,2824.0,187.43,529302.32,S,2025-02-19
Shriram Kavitark Ram,Unknown,Sell,Class A Common Stock,3392.0,183.445,622245.44,S,2025-02-19
Shriram Kavitark Ram,Unknown,Sell,Class A Common Stock,3327.0,184.1998,612832.73,S,2025-02-19
Shriram Kavitark Ram,Unknown,Sell,Class A Common Stock,2743.0,182.6979,501140.34,S,2025-02-19
Shriram Kavitark Ram,Unknown,Sell,Class A Common Stock,4557.0,183.7932,837545.61,S,2025-02-19
Shriram Kavitark Ram,Unknown,Sell,Class A Common Stock,2500.0,184.4824,461206.0,S,2025-02-19
Shriram Kavitark Ram,Unknown,Sell,Class A Common Stock,19266.0,185.5098,3574031.81,S,2025-02-19
"GV 2016 GP, L.L.C.",,Sell,Class A Common Stock,5675399.0,0.0,0.0,J,2025-02-13
"GV 2016 GP, L.L.C.",,Sell,Class A Common Stock,36300393.0,0.0,0.0,J,2025-02-13
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Capital Stock,1340.0,202.08,270787.2,S,2025-02-03
Shriram Kavitark Ram,Unknown,Sell,Class A Common Stock,14000.0,205.0,2870000.0,S,2025-01-31
Shriram Kavitark Ram,Unknown,Sell,Class A Common Stock,12000.0,205.0,2460000.0,S,2025-01-31
ARNOLD FRANCES,Unknown,Sell,Class C Capital Stock,110.0,200.0,22000.0,S,2025-01-30
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Google Stock Units,1424.0,201.9,287505.6,F,2025-01-28
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Capital Stock,1340.0,0.0,0.0,C,2025-01-28
Pichai Sundar,Chief Executive Officer,Sell,Class C Capital Stock,1343392.0,0.0,0.0,A,2025-01-24
Pichai Sundar,Chief Executive Officer,Sell,Class C Capital Stock,674712.0,200.03,134962641.36,F,2025-01-24
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Capital Stock,2834.0,194.32,550702.88,S,2025-01-15
HENNESSY JOHN L,Unknown,Sell,Class A Common Stock,104.0,187.903,19541.91,S,2025-01-13
HENNESSY JOHN L,Unknown,Sell,Class A Common Stock,674.0,189.4407,127683.03,S,2025-01-13
HENNESSY JOHN L,Unknown,Sell,Class A Common Stock,722.0,190.3985,137467.72,S,2025-01-13
Porat Ruth,"President, Chief Invs. Officer",Sell,Class C Capital Stock,16418.0,195.39,3207913.02,F,2025-01-10
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Capital Stock,16418.0,195.39,3207913.02,F,2025-01-10
Porat Ruth,"President, Chief Invs. Officer",Sell,Class C Capital Stock,34108.0,0.0,0.0,A,2025-01-10
Schindler Philipp,"SVP, Chief Business Officer",Sell,Class C Capital Stock,81844.0,0.0,0.0,A,2025-01-10
Schindler Philipp,"SVP, Chief Business Officer",Sell,Class C Capital Stock,40420.0,195.39,7897663.8,F,2025-01-10
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Capital Stock,34108.0,0.0,0.0,A,2025-01-10
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Capital Stock,1368.0,191.55,262040.4,S,2025-01-03
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Capital Stock,2200.0,191.3218,420907.96,S,2025-01-02
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Capital Stock,4931.0,191.9943,946723.89,S,2025-01-02
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Capital Stock,9489.0,193.2285,1833545.24,S,2025-01-02
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Capital Stock,200.0,193.695,38739.0,S,2025-01-02
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Capital Stock,16820.0,0.0,0.0,G,2025-01-02
ARNOLD FRANCES,Unknown,Sell,Class C Capital Stock,111.0,192.49,21366.39,S,2025-01-02
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Google Stock Units,1368.0,0.0,0.0,C,2024-12-27
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Google Stock Units,1395.0,197.57,275610.15,F,2024-12-27
Ashkenazi Anat,"SVP, Chief Financial Officer",Sell,Class C Google Stock Units,18189.0,197.57,3593600.73,F,2024-12-27
Ashkenazi Anat,"SVP, Chief Financial Officer",Sell,Class C Google Stock Units,17843.0,0.0,0.0,C,2024-12-27
